NOME;DATE;PROVENIENZA;ATTIVITA';ANNI DI CONTATTO CON TARTINI;CONTATTI CON TERZI;TESTIMONIANZA DI TARTINI;TESTIMONIANZA DELL'ALLIEVO SU TARTINI;TESTIMONIANZE DI TERZI;ANCHE COMPOSITORE;EPISTOLARIO TARTINI;EITNER;RIEMANN;MGG;NGD;GMO;FETIS;DIC;DUM;DEUMM;DBI;FONTI;NOTE;SONATE A 3;SONATE A 4;ALTRE COMPOSIZIONI;SCRITTI;RISM;MGG2
BIGAZZI, Zanobi;;Italy;;;;"T. a Martini: ""ecco a vostra riverenza nuova provvigione del nostro tabacco padovano, giacchéla occasione del passaggio per costà del mio scolare signor Zanobi Bigazzi esibitor della presente mi porge il comodo di poterglielo mandare sicuro, e senza spesa, e mi da il piacere di far conoscere al mio scolare la di lei degnissima persona""";;;;p. 295;;;;;;;;;;;"DOUNIAS, 1935; CAPRI, 1945, p. 384";;;;;;;
BINI, Pasquale [Pasqualino];1716-1770;Pesaro (Italy);"Roma; Pesaro; Württemberg; Stuttgart";1731-1735;"Raccomandato dal cardinale Olivieri. Fu poi richiamato a Roma dal cardinale Olivieri; fu raccomandato da Algarotti alla corte di Federico II di Prussia. Gaetano Pugnani. Maestro di Emanuele Barbella.";"T. ad Algarotti: ""rendo in primo luoco infinitissime grazie al benignissimo signor conte mio padrone, perché si è impegnato di cuore per l’impegno e stabilimento del mio carissimo scolare Pasqual Bini in qualche corte riguardevole. La supplico più che mai di sollecitarmi quanto può questo favore per me grandissimo, e l’assicuro di nuovo, che ne avrà onor sommo""./ T. ad Algarotti: ""Ella mi motiva di poter accomodare il mio scolare Pasqual Bini con sua altezza. Considerando io le circostanze, vedo benissimo il sommo vantaggio del mio scolare in tal caso. Egli è ricco di virtù nel suo mestiere, e di bontà ne suoi costumi ma il di lui spirito povero non è per corti grandi. Persuaso dunque che questo sia il buon punto per lui, gli ho scritto subito; non perché domandi stipendio etc.; ma perché dia il suo assenso al serviggio di tal padrone. Per altro ella abbia la benignità di condurre a buon fine questo affare per ogni parte e sia sicura, che né io, né lo scolare dimanderà quantitativo. La unica consideratione, che in tal caso deve avere sua altezza, si è, che avendo quest’uomo al suo serviggio, e sua altezza potendo giustamente giudicare del di lui valore, e merito, trovarà in fatto che  per tutta la Germania, quanto è lunga e larga, non vi sarà certamente altro uomo da paragonarlo, e porlo a confronto. Me le raccomando dunque di nuovo sopra questo particolare [...]"". / T. ad Algarotti: ""Ho avuto risposta dal mio scolare signor Pasqual Bini, quale è prontissimo di ricevere il serviggio di sua altezza, quando gli vengano accordate due conditioni. Una è, che se deve venir costà, vuole in sua compagnia un suo fratello per il viaggio, e per tre, o quattro mesi di permanenza in coteste parti; sino che si assicura dell’effetto del clima nella di lui salute. Trovando il clima confacente, il fratello se ne ritornerà a casa sua; trovando forza l’opposto, vuole ritornarsene in compagnia del fratello. L’altra conditione si è, che se mai sua altezza (ricevendolo a serviggio) lo conducesse seco in Italia, lo disoblighi dall’andar seco lui a Roma, dove il povero giovane ha avuto mille disastri di animo, e di corpo. Per tutta la Italia e per tutto il mondo si; in Roma no. Così il giovane mi ha scritto, e così fedelmente io trascrivo. Il fatto sì è, che questo giovane non è di molta forza di spirito: ottimo e santo ne’ suoi costumi; maraviglioso nella sua professione, ma debole di spirito. Perseguitato in Roma doppo la morte di sua eminenza Acquaviva (fu suo padrone), ha appreso in tal modo la persecutione, che quasi è impazzito; e però si è absentato da Roma, rinuntiando alla fondatissima speranza di entrare tra poche settimane al serviggio del signor cardinale di Iorc dalle di cui instanze per averlo al proprio serviggio, si difende con fatica, stando a casa sua e in patria, ch’è Pesaro. Questa è la origine della difficoltà sua di farsi mai più vedere in Roma. A me pare, che le due conditioni proposte portino seco alcun ostacolo. Perché la prima null’altro aggiunge, se non qualche spesa maggiore a sua altezza nel ritorno del fratello. [...]"" / Ottimo e santo nei suoi costumi, meraviglioso nella sua professione.""";;"He was always a restless spirit with a predisposition to mental illness, as had already been noted by his teacher Tartini some years earlier; / fu ammirata la ""hardiesse et la pureté de son jeu"" (Fétis). Sembra che T. abbia riferito a Wiseman: ""Vi mando ad un mio scolaro che suona più di me e me ne glorio per essere un angelo di costume e di religione"", cfr. BONAVENTURA, p. 147";X;p. 138,140, 179-181;EIT;;MGG;;GMO;FET;;;DEU;DBI;"Albert Mell and Antonio Lolli, Antonio Lolli's Letters to Padre Martini; Bini, Pasquale in Giuseppe Radiciotti, Aggiunte e correzioni ai Dizionari biografici dei musicisti, Sammelbände der internationalen Musikgesellschaft, XV (1914), 584; DOUNIAS, 1935; CAPRI, 1945, p. 384";;;;"3 Konz. D, F, G für V. und Str. (davon eines zweifelhaft), US-BEm
Konz. G-Dur für V. und Str., A-Wgm
Konz., F-Pn
Konz. G-Dur für V. und Str., D-Sl

5 Duette A, B, D, Es, G für 2 V., US-BEm
Sonata a solo für V. und B.c., DK-Kk
6 Son. für V. und B.c., D-Sl
Son. D-Dur für Cemb., D-B
Son. D-Dur für V. und B.c., US-BEm
Son. A-Dur für V. und B.c., S-Skma";;;MGG
BOTTESI;;Italy;;;;;;;;;;;;;;;;;;;"CAPRI, 1945, p. 384; nominato da Antonio De Eximeno, Dell'origine e delle regole della musica, Roma 1722; citato da Agostino Forno";;;;;;;
CAMPION [CAMPIONI], Charles-Antoine [Carlo Antonio];1720-1788;Lunéville (France);"Livorno; Firenze; Parigi?";;"Mozart; Nardini; Burney; padre Martini";;;;X;;EIT;;;;;FET;DIC;;DEU;DBI;"CAPRI, 1945, p. 384; HONEGGER";Il tenore Anton Raaff lo dà allievo di Tartini;"6 Serien von Trioson., stets mit dem Titel Six Sonatas for Two Violins with a 
Thorough Bass for the Harpsichord or Vc. op.?1–6, L. o.?J. (op. 1 und 2 wohl 
vor 1756, op.?3–6 nach 1756; von op.?6 nur Nr.?1–5 von Campioni, Nr.?6 von A.?Filtz [= op.?3 Nr.?6, P. o.?J.])

VIII Sonates à deux violons & basse-continue op.?4, Adm. [vor 1774], Joh. J.?Hummel (= op.?5, Nr.?1 und 2; op.?4, Nr.?4; op.?8, Nr.?5; op.?5, Nr.?3–5; op.?8, Nr.?6)
Six Sonates à deux violons & violoncello obligato op.?6, ebd. [vor 1774] (= op.?5, Nr.?6; op.?8, Nr.?1, 3 und 4; op.?4, Nr.?3 und 6)
Six Sonates à deux violons & violoncello obligato op.?7, ebd. [vor 1774] (= op.?6, Nr.?1–5; op.?4, Nr.?1)
Six Sonates à deux violons & violoncello obligato op.?7, L. [1770], Welcker (= op.?6, Nr.?1–5; op.?8, Nr.?1)
VIII Sonates à deux flûtes et une basse op.?4, L. [1780], R.?Bremner (= op.?5, Nr.?1–5; op.?4, Nr.?4; op.?8, Nr.?5 und 6)
Nr.?1 und 3 in: Six Sonatas or Trio’s for Two Violins or German Flutes with the Thorough Bass for the Harpsichord, L. [1764], C. & S.?Thompson (= op.?2, Nr.?1 und 3; die übrigen 4 Son. von D.?Ferrari)";;"Messe für 4 St. (1780), I-Fc, E.1.235
Messa solenne di requiem per l’esequie di sua maestà l’imperatrice regina Maria Teresa d’Austria (1781), A-Wn, 16449
Salve regina, a voce sola di soprano, con gl’istrumenti op.?8 (b), P. [vor 1763]
»Dixit Dominus« As-Dur (ca. 1735–1765), D-MÜs, Hs. 816
Offertorio, per messa di requiem per le esequie di Francesco I (1766), A-Wn, 15798
»Salus infirmarum amoris« C-Dur, Mot. für 4 St. (1766), D-MÜs, Hs. 817 (autogr. Part.)
Musica per servizio di chiesa per la mattina in tutti i giorni della settimana santa (1767), I-Rrostirolla, Ms.Mus. 352 (die Slg. enthält hauptsächlich Sätze zu Ordinarium und Proprium, 2 Mot., 2 Passionen, 1 Magnificat u.?a. von Campioni für 4 St. und B.c.)
Responsi, Benedictus, Christus e Miserere für 4 St. (1780), I-Fc, E.130
Responsi für die Karwoche, A-Wn, 15927, H.?K. 505–507
Benedictus, Christus e Miserere, I-Fc, E.121
Credo für 4 St., I-Fc, E.1.29
Responsi, Benedictus, Christus e Miserere, I-Fc, A. 44–46

Venere placata (Marco Coltellini), componimento drammatico für 2 S und Orch. (5. Okt. 1760 Livorno), D-Hs, M A/880, 1 Ex. des gedruckten Libr. in US-Wc, Schatz 1536
»T’amo bell’idol mio«, I-Fc, D.976
»Parmi o balena il ciel«, Hochzeitskant. für S und Str. F-Dur, I-AN, Mus.27 (G.?Picchi und A.?Jachson gewidmet)

Sinfonia a quattro G-Dur, I-Vlevi, CF.C.163
Konz. für Ob. und Orch., Bibl. H.?Prunières
Concerto per cimbalo/con violini, e primo violino obbligato/corni da caccia, e viola C-Dur, US-LOu, Profana 30; US-CAi, Isham 3743.262.82.1

StrQu. Es-Dur (ca. 1788), D-B, Mus.ms.2855

Divertimento da camera. Six Duets for a Violin & Vc., or Harpsichord op.?7, L. [1770]
Six Sonatas or Duets for Two Violins op.?8 (a), ebd. o.?J.; Nr.?1 und 2 in: Six Favourite Solos for a Violin with a Bass for the Vc. and Harpsichord Compos’d by Sig.r Campioni and Sig.r Chabran, ebd. [1760]
Divertimento G-Dur für Fl., V. und B.c., A-SEI, V 1411
Six Duets for a Violin and Vc. o. Op., L. [1770], Preston and Son (= op.?7)
Six Duos pour un violon et un violoncel op.?9, P. [1775–1777], Huberty (= op.?7)

Six Sonatas for the Harpsichord op. 4 (b), L. 1763, R.?Bremner (Sonate Nr.?6 mit obligater V.)
Fuga à tre für Kl. F-Dur, CH-E, Th.55,18 (Ms.1932)";;;MGG
CAPUZZI [CAPUCCI, CAPUZZI], Giuseppe Antonio;1755-1818;Brescia (Italy);"Venezia; Londra; Bergamo";;"Allievo di Nazari e Bertoni; insegna a Donizetti. Maestro di Antonio Piatti. Amico di Simone Mayr";;;;X;;EIT;RIE;;;GMO;;;DUM;DEU;DBI;"Bonaventura, p. 148 lo dà allievo di Tartini; Kenneth Goldsmith, ORPHEUS OF HIS AGE the forgotten career of Giuseppe Antonio Capuzzi ; DOUNIAS, 1935; CAPRI, 1945, p. 384. ""He studied the violin with Nazari, a pupil of Tartini, and composition with Bertoni"", GMO";;Trio G-Dur für 2 Vc. und B.c., CZ-Pnm;;"Regem cui omnia vivent, Invitatorium zur Matutin des Officium Defunctorum für Doppelchor und Str., I-BGi
La tempesta (dat. 1813), Kant. für S und Str., I-BGc

Cefalo e Procri (Alessandro Ercole Conte Pepoli), favola in prosa con musica 1 Akt (1792 Padua)
Eco e Narciso (ders.), favola 1 Akt (1793 Venedig)
I Bagni d’Abano ossia La forza delle primi impressioni (Antonio Simeone Sografi nach Goldoni), commedia 2 Akte (Jan. 1794 Venedig, Teatro Venier in S.?Benedetto); Arie »Primo patto del contratto« gedr. als Aria […] eseguita il carnovale 1794 in Venezia dalla Sig.ra Anna Benini in S.?Benedetto, Vdg.: Cattarino Aglietti [1794]; eine Arie in D-Rtt
Sopra l’ingannator cade l’inganno ovvero I due granatieri (Giuseppe Maria Foppa), farsa giocosa 2 Akte (14. Jan. 1801 Venedig, Teatro Giustiniani di S.?Moisè)
La casa da vendere (Giulio Domenico Camagna), farsa giocosa 1 Akt (4. Jan. 1804 Venedig, Teatro S.?Angelo), Arien in I-Nc; Introduzione in I-BGc
einzelne Arien in D-B, D-MÜs, GB-Lbl, I-Nc und I-Plcon

Alonzo e Cora (Domenico Ricciardi nach Jean-François Marmontel, Les Incas), ballo eroico (Jan. 1783 Venedig, Teatro Venier in S.?Benedetto, in Francesco Bianchis Piramo e Tisbe; Karneval 1784 Rom, Teatro delle Dame, in Bianchis Aspardi, principe di Battriano; als La vergine del sole ossia Alonzo e Cora 1784 Florenz, Teatro della Pergola, in Alessio Pratis L’Ifigenia in Aulide; als Cora, o La vergine del sole 1794 Mailand, Scala; hs. Part. I-Fc)
Annetta e Fierillo (Giambattista Giannini) (1786 Neapel, Regio Teatro del Fondo di Separazione, in Giuseppe Millicos La Zelinda)
L’impostore punito (Antonio Muzzarelli), ballo tragico pantomimo (26. Dez. 1786 Venedig, Teatro di S.?Samuele, in Ferdinando Robuschis Castrini padre e figlio)
Ino e Temisto (1787 Vicenza, Näheres nicht zu ermitteln)
La donna bizzarra (1787 Ravenna, Näheres nicht zu ermitteln)
Artaserse Mnemone, rè di Persia (Domenico Ricciardi) (Herbst 1787 Venedig, Teatro di S.?Samuele, in Giovanni Paisiellos Pirro)
Cresfonte, rè di Scizia (ders.), ballo eroico (26. Febr. 1788 ebd., in Francesco Bianchis Pizzarro)
La Villageoise enlevée ou Les Corsaires (Giacomo Onorati) (1796 London); Kl.A.?L. 1796, Longman & Broderip
Li sposi contenti (Carlo Taglioni) (1797 Venedig, Teatro di S.?Moisè)
Ballett ohne Titel (1797 Venedig, in Vicente Martín y Solers L’isola piacevole [L’isola del piacere])
Clotilda duchessa di Salerno (Viganò) (1799 Venedig, Teatro Fenice, in Joh. S.?Mayrs Adelaide di Guesclino; im selben Jahr in Wien mit Musik von Capuzzi und Joseph Weigl. Viganò hatte 1811 in Mailand einen seiner ersten großen Erfolge mit einer Aufführung dieses Balletts; der Komponist ist nicht genannt, möglicherweise handelt es sich also auch hier um das Werk Capuzzis oder die Fassung Capuzzi/Weigl; letztere als Kl.A. gedruckt als Clothilde, Princessin von Salerno. Ein großes pantomimisches Ballet, Wien, K.?K.?Hoftheater-Musik-Verlag 1799)
Matilde ossia La donna selvaggia (Giovanni Monticini) (1800 Venedig, Teatro Venier in S.?Benedetto, in Joh. S.?Mayrs La contessa immaginaria [Un pazzo ne fa cento]; ferner 14. Aug. 1800, 12. März 1802, 1. Sept. 1804 Mailand, Scala)
Gustavo rè di Svezia (ders.) (26. Dez. 1803 Mailand, Scala)
Amore ingannato (ders.) (16. Aug. 1807 ebd.)
La disfatta di Abderamo ossia Consalvo di Cordova, Musik von Capuzzi und Luigi de Baillou (G. de Rossy [Gaetano Rossi?]) (9. Apr. 1809 ebd., in Joseph Weigls L’uniforme)
fraglich: La capricciosa. Ballo ridotto in quartetti, Wien: K.?K.?Hoftheater-Musikverlag, Verlagsnummer 165

La rosa di Danzica D-Dur, I-BGc
Overtura D-Dur, I-Rc
Sinfonia D-Dur, I-BGc
Sinfonia concertante D-Dur für 2 V. und Hr. oder Va. op.?1, Vdg., ohne Verlagsangabe, nicht dat.; hs. Kopie in I-BGc (dat. 1782)
Flötenkonzert C-Dur, D-Rtt
Flötenkonzerte D, D, S-Skma
Violinkonzerte F, D, A und D, I-BGc
Violinkonzert D-Dur, I-BGi
Violinkonzert B-Dur, I-CHc
Violinkonzert G-Dur, I-Gl
Violinkonzerte D, B und B, US-BEm
Violinkonzert (»Sinfonia«) D-Dur, CZ-Pnm
Variationen für V. und Orch. D-Dur, I-Rrostirolla
Violoncellokonzert A-Dur, S-L
Kontrabaßkonzert »per il Cavaliere Marcantonio Mocenigo«, GB-Lbl

Sonata [G-Dur] per il violino con acc. di violino secondo, Wien, Artaria, Verlagsnummer 1643 [1803/04]
zweimal 3 Divertimenti per violino e basso D, A, F, C, Es, G, Vdg., Zatta & figli o.?J.
einzelne Violinsonaten in Sammelhss., HR-Dsmb
Thema und Variationen G-Dur und A-Dur für V. und B.c., beide I-Rrostirolla
Rondo für Cemb. und V., I-Mc
6 StrQu. C, G, g, B, F, A op.?1 (Opusnummer nur in hs. Verlagsverzeichnis Artaria, A-Wst Jc 85947), Wien, Artaria, Verlagsnummer 11, 1780; später übernommen von Longman & Broderip, London
6 StrQu. Es, B, D, F, C, Es op.?2, Vdg., Alessandri e Scattaglia (1780?); Titelausgabe Wien, Artaria, Verlagsnummer (nur im Inventar, s.?o.) 10, 1780
6 StrQu. op.?6, Wien, Artaria 1787, Verlagsnummer 152 (verschollen)
6 StrQnt. Es, c, C, B, D, G für 2 V., 2 Va. und Vc. op.?3, Vdg., Zatta & figli (nach 1780?)
Variationen für StrQnt. F-Dur, I-BGc
Arrangement: Giovanni Paisiello, Nina pazza per amore für StrQu. (dat. 1801), I-BRc";;;MGG
CARMINATI, Lorenzo;;Venice (italy);Lione;;;;;;;;EIT;;;;;;;;;;"DOUNIAS, 1935; CAPRI, 1945, p. 384";;;;Sonata violino solo et basso (1730-1750);;RISM;
Chiara;1718-;"[Venice]; violinista nel coro della Pietà";;;;;;;;;;;;;;;;;;;GILLIO, 2000;;;;;;;
CONTI, Pietro;;Italy;;;;;;;X;;EIT;;;;;;;;;;WOLTERS HART 2006;;"Sonata a 3 Notturna (1750-1799)
";Sonata a quattro ;;;RISM;
COSTA, Antonio [prete];1714-1780;Oporto (Portugal);"Roma; Venezia; Parigi; Vienna";;"conobbe Gluck e Charles Burney; Padre Martini";"T. a Martini: ""Quanto poi mi scrive vostra riverenza del signor don Antonio Costa (questo è il di lui cognome) non mi meraviglia; perché ella può immaginarsi, che il primo colpo di tal novità, o per dir meglio di tal tentativo di musica sempre costante, in rivolti, lo abbiamo ricevuto qui molto maggiore della di lui chitarra, dove l’effetto è veramente singolare, perché la intenzione, ed esecuzione è della stessa testa, e delle stesse mani. Egli è mio padrone, ed amico, e vostra riverenza stia sicura, che o in un modo, o in un altro le procurerò la sodisfazione che desidera, con qualcheduno del trio medesimo. L’avrei fatto a quest’ora, ma finché dura l’autunno, mi sarà difficile a cagione del di lui impegno di persona con casa patrizia veneta che lo tien lontano dalla di lui casa."" / T. a Martini: ""dal signor don Antonio Costa ho ricevuto a di lei disposizione tre sue composizioni: un solo, un duetto, ed un terzetto. Vostra riverenza comandi in qual modo io debba addirizzargliele, e sarà obbedita. Egli si è fatto piacer, ed onore di servirla, essendo pieno di stima, e di venerazione per vostra riverenza, ed io non ho merito alcuno di averla servita di mezzo, perché l’ho trovato disposto ad ogni di lei premura, e comando.""";;;X;p. 309, 312;;;;;GMO;;;;;;"BURNEY; LIVERMORE; BRITO";;;;Duets Abbate Acosta.;;RISM;
COSTANZI;;Italy;;;;;;;;;;;;;;;;;;;"POUGIN, 1924; DOUNIAS, 1935; CAPRI, 1945, p. 385; A. FORNO";;;;;;;
CUBLI, Antonia [Antonietta];1726;Greece;Venezia - Ospedale dei Mendicanti;;Secondo Ruder Josip Boskovic scolara di Nazzari. Docente di violino di Maddalena Lombardini (prima di Tartini);;;;;;;;;;;;;;;;"citata in DBI nella voce sulla Lombardini Sirmen; DOUNIAS, 1935; CAPRI, 1945, p. 385; Burney";"""maestra del coro""; ""fu accettata nel coro dei mendicanti all'età di sei anni su richiesta delle sue zie Maddalena e Graziosa"", Caroline Giron-Panel, Gli Ospedali: luoghi e reti di socialità femminili. Nel 1774 divenne priora. Allieva di Tartini secondo Caffi";;;;;;
